Feature ID	Taxon
ASV_91	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Hasllibacter;s__
ASV_92	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__;g__;s__
ASV_93	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Thalassobius;s__
ASV_94	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Lewinella;s__
ASV_95	k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae;g__;s__
ASV_96	k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__;s__
ASV_97	k__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Rubricoccus;s__
ASV_98	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Puniceispirillales;f__;g__;s__
ASV_99	k__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__
ASV_100	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__
ASV_101	k__Bacteria;p__;c__;o__;f__;g__;s__
ASV_102	k__Bacteria;p__Planctomycetota;c__vadinHA49;o__;f__;g__;s__
ASV_103	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Rubritaleaceae;g__Roseibacillus;s__
ASV_104	k__Bacteria;p__;c__;o__;f__;g__;s__
ASV_105	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__
ASV_106	k__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Sva1033;g__;s__
ASV_107	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__;s__
ASV_108	k__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__;s__
ASV_109	k__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Algisphaera;s__
ASV_110	k__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__
ASV_111	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__
ASV_112	k__Bacteria;p__Planctomycetota;c__OM190;o__;f__;g__;s__
ASV_113	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__;s__
ASV_114	k__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__;g__;s__
ASV_115	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__
ASV_116	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__;g__;s__
ASV_117	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2;g__;s__
