"","Taxa","Method","Group","Letter","Significance"
"97","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","anova","ColaDeBallena","a","a"
"98","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","anova","EsteroZacatecas","b","b"
"99","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales","anova","EsteroZacatecas","a","a"
"100","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales","anova","ColaDeBallena","a","a"
"101","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","anova","EsteroZacatecas","a","a"
"102","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","anova","ColaDeBallena","a","a"
"103","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales","anova","ColaDeBallena","a","a"
"104","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales","anova","EsteroZacatecas","b","b"
"105","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales","anova","EsteroZacatecas","a","a"
"106","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales","anova","ColaDeBallena","b","b"
"107","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales","anova","ColaDeBallena","a","a"
"108","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales","anova","EsteroZacatecas","b","b"
"109","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","anova","ColaDeBallena","a","a"
"110","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","anova","EsteroZacatecas","a","a"
"111","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","anova","ColaDeBallena","a","a"
"112","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","anova","EsteroZacatecas","a","a"
"113","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","anova","ColaDeBallena","a","a"
"114","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","anova","EsteroZacatecas","a","a"
"115","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales","anova","ColaDeBallena","a","a"
"116","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales","anova","EsteroZacatecas","b","b"
"117","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","anova","EsteroZacatecas","a","a"
"118","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","anova","ColaDeBallena","a","a"
"119","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales","anova","EsteroZacatecas","a","a"
"120","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales","anova","ColaDeBallena","b","b"
"121","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","anova","ColaDeBallena","a","a"
"122","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","anova","EsteroZacatecas","b","b"
"123","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales","anova","EsteroZacatecas","a","a"
"124","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales","anova","ColaDeBallena","b","b"
