"","metagenomeSeq","DESeq2","edgeR","ancombc2","linda","metagenomeSeq-DESeq2","metagenomeSeq-edgeR","metagenomeSeq-ancombc2","metagenomeSeq-linda","DESeq2-edgeR","ancombc2-linda","linda-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR","metagenomeSeq-edgeR-linda","metagenomeSeq-ancombc2-linda","metagenomeSeq-DESeq2-edgeR-linda","metagenomeSeq-DESeq2-ancombc2-linda","metagenomeSeq-DESeq2-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ancombc2-linda-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","ALDEx2_kw-DESeq2-edgeR-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-ancombc2-linda-GMPR_wilcox-Wrench_wilcox"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae",0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0
"k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales|f__Balneolaceae",0,0,0,0,0.00625,0,0,0,0.0588235294117647,0,0.0357142857142857,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae",0,0,0,0.0666666666666667,0.01875,0.0256410256410256,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae",0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae",0,0.0208333333333333,0,0,0.00625,0,0.1,0,0,0,0,0,0.0289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae",0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0.0454545454545455,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae",0,0,0,0,0.025,0,0,0,0,0,0.0357142857142857,0,0.0144927536231884,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae",0.0434782608695652,0,0,0,0.01875,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b",0,0.0208333333333333,0,0,0.0125,0.0256410256410256,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0
"k__Bacteria|p__Calditrichota|c__Calditrichia|o__Calditrichales|f__Calditrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Stappiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Tenderiales|f__Tenderiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae",0,0,0,0,0.0375,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bdellovibrionota|c__Bdellovibrionia|o__Bdellovibrionales|f__Pseudobdellovibrionaceae",0,0,0,0.0666666666666667,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micavibrionales|f__Micavibrionaceae",0,0,0,0.0666666666666667,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae",0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae",0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Magnetospiraceae",0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
