"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"64","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","(Intercept)",NA,-3.55432465952067,0.200112029404297,1.39995880093607e-70,"***"
"65","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","seasonSeptember",NA,-0.0926313901769394,0.20891083602461,0.657475309184149,"ns"
"66","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","siteEsteroZacatecas",NA,0.0651985646995039,0.208822163662941,0.754872937712531,"ns"
"67","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","Model","Ferrari's R2: 0.50646464264615",NA,NA,NA,NA
"68","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","season",NA,NA,NA,0.000270443141381267,"***"
"69","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","site",NA,NA,NA,0.423900314947191,"ns"
"70","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","(Intercept)",NA,-4.84222986376885,0.386448022425312,5.11023789126291e-36,"***"
"71","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","seasonSeptember",NA,1.27070191080224,0.3488944855227,0.000270443141381267,"***"
"72","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","siteEsteroZacatecas",NA,0.252867923098047,0.316214180102604,0.423900314947191,"ns"
"73","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","Model","Ferrari's R2: 0.687252531685239",NA,NA,NA,NA
"74","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","season",NA,NA,NA,6.62484788767575e-07,"***"
"75","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","site",NA,NA,NA,5.35888788534962e-11,"***"
"76","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","(Intercept)",NA,-4.63391858474274,0.348803886738419,2.82220520183189e-40,"***"
"77","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","seasonSeptember",NA,1.8030806994083,0.362643287438681,6.62484788767575e-07,"***"
"78","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","siteEsteroZacatecas",NA,-3.08820765633149,0.470719745195619,5.35888788534964e-11,"***"
"79","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","Model","Ferrari's R2: 0.141777595184273",NA,NA,NA,NA
"80","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","season",NA,NA,NA,0.673451350133051,"ns"
"81","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","site",NA,NA,NA,3.54650864306378e-07,"***"
"82","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","(Intercept)",NA,-3.45331731059138,0.263342553140583,2.75929727279274e-39,"***"
"83","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","seasonSeptember",NA,-0.144413249116178,0.342685742727717,0.673451350133051,"ns"
"84","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","siteEsteroZacatecas",NA,-2.27524006726707,0.44684258589554,3.54650864306378e-07,"***"
"85","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","Model","Ferrari's R2: 0.191598000384757",NA,NA,NA,NA
"86","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","season",NA,NA,NA,0.2899069699229,"ns"
"87","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","site",NA,NA,NA,0.0105993294013352,"*"
"88","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","(Intercept)",NA,-4.83643716465654,0.292546794560662,2.15206073730442e-61,"***"
"89","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","seasonSeptember",NA,0.27305628476655,0.258007793822862,0.2899069699229,"ns"
"90","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","siteEsteroZacatecas",NA,0.683293672792238,0.26736714961975,0.0105993294013352,"*"
"91","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","Model","Ferrari's R2: 0.497849756678676",NA,NA,NA,NA
"92","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","season",NA,NA,NA,0.504657488149611,"ns"
"93","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","site",NA,NA,NA,0.00128101164809461,"**"
"94","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","(Intercept)",NA,-4.28658902117058,0.280216571546729,7.95549003506573e-53,"***"
