"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"12","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7012","Wilcoxon Rank Sum Test","September",0.829031220727544,0.894131428765443,"ns"
"13","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_7541","Wilcoxon Rank Sum Test","September",0.0328869193981842,0.120149144057819,"ns"
"14","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_14091","Wilcoxon Rank Sum Test","February",0.62352939698878,0.726641184715928,"ns"
"15","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_13236","Wilcoxon Rank Sum Test","February",0.755284828242158,0.833973239387977,"ns"
"16","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_4439","Wilcoxon Rank Sum Test","February",0.0995825160144482,0.228344236039944,"ns"
"17","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_6338","Wilcoxon Rank Sum Test","September",0.0001014923761857,0.0076666158059896,"**"
"18","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas|s__|ASV_10664","Wilcoxon Rank Sum Test","September",0.000505483145121093,0.0137203984379381,"*"
"19","February - September","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter|s__|ASV_7782","Wilcoxon Rank Sum Test","September",0.0887337860685552,0.208803629455027,"ns"
"20","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_15946","Wilcoxon Rank Sum Test","September",0.000988182301909446,0.0197231301082786,"*"
"21","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania|s__|ASV_3585","Wilcoxon Rank Sum Test","February",0.129807447138977,0.263599252880586,"ns"
"22","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_14934","Wilcoxon Rank Sum Test","February",0.000776799838105254,0.0177010231961421,"*"
"23","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__|s__|ASV_4049","Wilcoxon Rank Sum Test","February",0.874990750368516,0.931754390819638,"ns"
"24","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_5509","Wilcoxon Rank Sum Test","September",0.259282564954107,0.40299576492867,"ns"
"25","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_8981","Wilcoxon Rank Sum Test","February",0.00705410240068292,0.057544374735268,"ns"
"26","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella|s__|ASV_10676","Wilcoxon Rank Sum Test","September",0.0379855976279583,0.12409857865833,"ns"
"27","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_16064","Wilcoxon Rank Sum Test","September",0.299117385231852,0.447844271993407,"ns"
"28","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_12448","Wilcoxon Rank Sum Test","February",0.302119600520409,0.448508634616058,"ns"
