"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"123","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","(Intercept)",NA,-5.95600478198359,0.396062887036491,4.13690988573192e-51,"***"
"124","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","siteEsteroZacatecas",NA,1.05924110984633,0.382352436072096,0.00560001153701854,"**"
"125","glmm_beta formula for site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","Model","Ferrari's R2: 0.13456662354592",NA,NA,NA,NA
"126","glmm_beta formula for site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","site",NA,NA,NA,0.132452521703587,"ns"
"127","glmm_beta formula for site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","(Intercept)",NA,-5.08976730928766,0.816608548610183,4.58136765400696e-10,"***"
"128","glmm_beta formula for site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","siteEsteroZacatecas",NA,-0.616709916028619,0.409910052792449,0.132452521703586,"ns"
"129","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","Model","Ferrari's R2: 0.120580450569896",NA,NA,NA,NA
"130","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","site",NA,NA,NA,5.64350879687755e-06,"***"
"131","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","(Intercept)",NA,-4.82669339558386,0.270148734693295,2.13919073415189e-71,"***"
"132","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","siteEsteroZacatecas",NA,-1.83480842549938,0.404203085158364,5.64350879687754e-06,"***"
"133","glmm_beta formula for site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","Model","Ferrari's R2: 0.0152124000484695",NA,NA,NA,NA
"134","glmm_beta formula for site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","site",NA,NA,NA,0.386264786375333,"ns"
