"","February_ColaDeBallena","February_EsteroZacatecas","September_ColaDeBallena","September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena","February_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_EsteroZacatecas","September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena","February_ColaDeBallena-February_EsteroZacatecas-September_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__",0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Croceibacterium",0,0,0,0,0.0256410256410256,0.00854700854700855,0,0.00520833333333333,0,0.0277777777777778,0.0263157894736842,0.0175438596491228,0,0.00980392156862745
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium",0,0,0,0,0.0256410256410256,0,0,0.0104166666666667,0,0,0.0263157894736842,0,0.0434782608695652,0.00980392156862745
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Hoppeia",0.0144927536231884,0,0,0,0.0256410256410256,0,0,0.0104166666666667,0,0.0555555555555556,0,0,0,0.00490196078431373
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea",0.0144927536231884,0.0128205128205128,0,0,0,0.0170940170940171,0,0.0104166666666667,0,0,0.0263157894736842,0,0.0217391304347826,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae|g__Vibrio",0,0,0,0.037037037037037,0,0.0256410256410256,0,0.015625,0,0,0,0,0.0217391304347826,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae|g__",0.0289855072463768,0,0,0,0,0.00854700854700855,0,0,0,0.0555555555555556,0,0,0,0.00490196078431373
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Actinomarinales|f__|g__",0.0144927536231884,0,0,0,0,0.00854700854700855,0,0,0,0.0277777777777778,0.0263157894736842,0,0,0.0147058823529412
"k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae|g__Sulfurovum",0.0289855072463768,0,0,0,0,0.00854700854700855,0,0,0,0.0277777777777778,0.0263157894736842,0,0,0
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Sva0081_sediment_group",0,0,0,0,0.0512820512820513,0.00854700854700855,0,0,0,0,0.0263157894736842,0,0,0
