"","Comparison","Taxa","logFC","logCPM","P.unadj","P.adj","Significance","Method"
"34","February - September","PWY-7399|PWY-7399",1.57924750608427,8.94989826978538,3.16911859562195e-08,5.02398506776538e-07,"***","edgeR"
"35","February - September","PWY-6353|PWY-6353",0.22483258544413,12.2033802353497,4.14658288588895e-08,6.38573764426898e-07,"***","edgeR"
"36","February - September","HOMOSER-METSYN-PWY|HOMOSER-METSYN-PWY",0.676200854565845,10.9345535132782,5.82963450152622e-08,8.72825832311843e-07,"***","edgeR"
"37","February - September","PWY-6185|PWY-6185",1.38503928736785,8.40982563078196,6.22285596202166e-08,9.06518746899912e-07,"***","edgeR"
"38","February - September","NAGLIPASYN-PWY|NAGLIPASYN-PWY",-0.538752020927212,11.473220118989,6.40718979400713e-08,9.08809289202591e-07,"***","edgeR"
"39","February - September","PWY-5104|PWY-5104",-2.03670207477058,8.68929354624186,7.6610940328045e-08,1.05880248299529e-06,"***","edgeR"
"40","February - September","PWY-7644|PWY-7644",-5.05013300468994,1.77594054349556,1.0295742079797e-07,1.38735124525265e-06,"***","edgeR"
"41","February - September","DARABCATK12-PWY|DARABCATK12-PWY",-1.87004543161387,6.79963550774369,1.36498170585076e-07,1.79445155964283e-06,"***","edgeR"
"42","February - September","PWY-7316|PWY-7316",-1.5945977236466,7.87977211500155,1.62077759475672e-07,2.07999791327112e-06,"***","edgeR"
"43","February - September","PWY-5705|PWY-5705",0.887106150005442,9.65672040211825,1.74085145495776e-07,2.18213705633077e-06,"***","edgeR"
"44","February - September","PWY0-1297|PWY0-1297",0.56788600539029,10.9809800483057,2.15407833804265e-07,2.58119830245555e-06,"***","edgeR"
"45","February - September","PWY-5130|PWY-5130",0.21247752767347,12.3314309960367,2.15498930631725e-07,2.58119830245555e-06,"***","edgeR"
"46","February - September","PWY-7374|PWY-7374",-1.17603719872744,9.33534774161052,2.31059421598156e-07,2.70741365742187e-06,"***","edgeR"
"47","February - September","DENOVOPURINE2-PWY|DENOVOPURINE2-PWY",-1.23295839898422,10.4097498026501,2.41150620728166e-07,2.7655358419677e-06,"***","edgeR"
"48","February - September","P108-PWY|P108-PWY",-1.5635296564334,9.2243829179224,2.58474630824208e-07,2.90245470863017e-06,"***","edgeR"
"49","February - September","PWY-1269|PWY-1269",-0.536161970336935,11.3413914711325,2.71452751111448e-07,2.98598026222593e-06,"***","edgeR"
"50","February - September","PWY-6168|PWY-6168",-0.525354561483276,11.498015714532,3.09756761850197e-07,3.33917789274512e-06,"***","edgeR"
"51","February - September","PWY0-845|PWY0-845",0.853296286012178,9.89506051003438,3.54784321467964e-07,3.74958331904377e-06,"***","edgeR"
"52","February - September","PWY-7229|PWY-7229",-1.49061150315727,9.43489424661257,3.94790784847215e-07,4.09215832755094e-06,"***","edgeR"
"53","February - September","PWY0-1241|PWY0-1241",-0.76551349175743,10.5826217967927,4.03511854770342e-07,4.10363942870215e-06,"***","edgeR"
"54","February - September","PWY-6126|PWY-6126",-1.45321428731395,9.60415618005624,4.19575601679667e-07,4.18798609824704e-06,"***","edgeR"
"55","February - September","PWY66-391|PWY66-391",0.827937197926452,10.7887691708055,4.9066002070018e-07,4.80846820286176e-06,"***","edgeR"
"56","February - September","P101-PWY|P101-PWY",0.78572282039132,10.2030729670733,5.37948432255699e-07,5.1777536604611e-06,"***","edgeR"
"57","February - September","METSYN-PWY|METSYN-PWY",0.534479778842444,11.3918383636379,6.51079655908539e-07,6.15670060587197e-06,"***","edgeR"
"58","February - September","P105-PWY|P105-PWY",1.52643971942021,8.71458952309995,6.76860299441253e-07,6.29013278273854e-06,"***","edgeR"
"59","February - September","ASPASN-PWY|ASPASN-PWY",-2.05828154873054,6.97063250349003,8.02846385658812e-07,7.24282001212614e-06,"***","edgeR"
"60","February - September","PWY-7328|PWY-7328",0.952253634063289,10.6074551613858,8.06250836229255e-07,7.24282001212614e-06,"***","edgeR"
