Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	251	16	1	10	Marinobacterium	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	OM182_clade	244	19	1	15	Unclassified	0.07
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	242	33	4	19	SM1A02	0.07
Actinomycetota	Actinobacteria	Micrococcales	Unclassified	238.5	10	2	7	Unclassified	0.07
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	234	2	3	8	Roseibium	0.07
Sumerlaeota	Sumerlaeia	Unclassified	Unclassified	224	22	3	12	Unclassified	0.06
Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	218	26	2	21	IheB3-7	0.06
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	217.5	17	3	13	Sulfurimonas	0.06
SAR324_clade(Marine_group_B)	Unclassified	Unclassified	Unclassified	215	35	3	20	Candidatus_Nitrosoarchaeum	0.06
Bacteroidota	Bacteroidia	Unclassified	Unclassified	214.67	34	4	21	Unclassified	0.06
Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	208	4	1	4	Unclassified	0.06
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	204	11	3	10	Unclassified	0.06
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	203	5	4	6	Pir4_lineage	0.06
Pseudomonadota	Alphaproteobacteria	Rickettsiales	SM2D12	203	9	4	12	Unclassified	0.06
Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	203	2	2	9	Thermodesulfovibrio	0.06
Pseudomonadota	Gammaproteobacteria	AT-s2-59	Unclassified	194	10	2	10	Unclassified	0.05
Zixibacteria	Unclassified	Unclassified	Unclassified	192	22	3	12	Unclassified	0.05
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	191	2	2	14	Thalassospira	0.05
Actinomycetota	Actinobacteria	Micrococcales	Dermatophilaceae	190	3	2	3	Unclassified	0.05
Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	186	8	2	12	Nocardioides	0.05
Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Unclassified	184	9	1	13	Unclassified	0.05
Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	182	13	1	14	Unclassified	0.05
Pseudomonadota	Alphaproteobacteria	AT-s3-44	Unclassified	182	2	2	2	Unclassified	0.05
Patescibacteria	Gracilibacteria	Unclassified	Unclassified	180.5	29	3	16	Unclassified	0.05
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	178	10	2	12	Unclassified	0.05
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Kangiellaceae	177	3	3	6	Kangiella	0.05
Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	174	7	3	10	AqS1	0.05
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	172.5	7	1	7	Unclassified	0.05
Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	170	8	3	8	Unclassified	0.05
Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Unclassified	165	6	2	3	Unclassified	0.05
Pseudomonadota	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	165	1	1	7	Arhodomonas	0.05
Pseudomonadota	Gammaproteobacteria	Tenderiales	Tenderiaceae	164	4	4	8	Candidatus_Tenderia	0.05
Planctomycetota	vadinHA49	Unclassified	Unclassified	162	7	2	11	Unclassified	0.05
Bacteroidota	Bacteroidia	Bacteroidales	Unclassified	161	21	3	14	Unclassified	0.05
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	159	10	4	9	Unclassified	0.04
Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	142.5	2	2	5	Serinicoccus	0.04
