Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Gemmatimonadota	Longimicrobiia	Longimicrobiales	Longimicrobiaceae	6688	15	8	21	Unclassified	0.13
Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Unclassified	6679	33	8	22	Unclassified	0.12
Bacillota	Bacilli	Bacillales	Bacillaceae	6672.53	24	9	12	Unclassified	0.12
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	6639.16	16	7	20	Pseudoalteromonas	0.12
Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	6531	3	8	19	Geodermatophilus	0.12
Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	6513	70	9	22	Unclassified	0.12
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	6512	139	9	23	Unclassified	0.12
Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	6497.62	40	9	21	P3OB-42	0.12
Myxococcota	Polyangiia	Haliangiales	Haliangiaceae	6478	44	8	23	Unclassified	0.12
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	6423	20	8	13	Granulosicoccus	0.12
Pseudomonadota	Gammaproteobacteria	B2M28	Unclassified	6283	19	9	15	Unclassified	0.12
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	6200	24	6	21	Unclassified	0.12
Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	6040	15	7	18	Salinisphaera	0.11
Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	6000	24	9	18	Candidatus_Thiosymbion	0.11
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	5932	29	9	18	Marinobacterium	0.11
Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	5927	90	9	21	Peredibacter	0.11
Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Unclassified	5752	9	8	15	Unclassified	0.11
Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	5685	4	9	9	Patulibacter	0.11
Pseudomonadota	Gammaproteobacteria	Beggiatoales	Leucotrichaceae	5681	31	8	19	Unclassified	0.11
Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	5590	76	8	24	SKP-2	0.1
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	5551	29	8	12	Unclassified	0.1
Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	5549.5	51	9	21	Unclassified	0.1
Pseudomonadota	Gammaproteobacteria	BD7-8	Unclassified	5445	21	7	14	Unclassified	0.1
Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Unclassified	5328	9	8	13	Unclassified	0.1
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	5269	13	9	11	Unclassified	0.1
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	5207	24	9	15	Unclassified	0.1
Myxococcota	Polyangiia	Nannocystales	Nannocystaceae	5165	39	8	22	Unclassified	0.1
NB1-j	Unclassified	Unclassified	Unclassified	5077	51	9	18	Unclassified	0.1
Zixibacteria	Unclassified	Unclassified	Unclassified	5050	39	8	15	Unclassified	0.09
Planctomycetota	Phycisphaerae	Tepidisphaerales	Unclassified	5040	42	6	21	Unclassified	0.09
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	4956	19	8	12	Thiogranum	0.09
Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	4729	34	8	21	Unclassified	0.09
Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	4656	18	9	16	Sedimenticola	0.09
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	4641	58	7	21	Salinirepens	0.09
Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	4638	34	8	18	Unclassified	0.09
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	4547	32	9	17	Sulfurimonas	0.09
Bacteroidota	Bacteroidia	Bacteroidales	Unclassified	4530	48	9	16	Unclassified	0.08
Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae	4427	21	7	22	Unclassified	0.08
Patescibacteria	Dojkabacteria	Unclassified	Unclassified	4425	53	9	21	Unclassified	0.08
Pseudomonadota	Gammaproteobacteria	UBA10353_marine_group	Unclassified	4411	13	9	17	Unclassified	0.08
Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	4408	3	6	3	Candidatus_Uzinura	0.08
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	4271.5	29	8	20	C1-B045	0.08
Chloroflexota	Anaerolineae	Ardenticatenales	Ardenticatenaceae	4271	4	10	10	Unclassified	0.08
Dadabacteria	Dadabacteriia	Dadabacteriales	Unclassified	4227	17	8	13	CSP1-2	0.08
Thermodesulfobacteriota	Unclassified	Unclassified	Unclassified	4155	17	8	14	Unclassified	0.08
Gemmatimonadota	PAUC43f_marine_benthic_group	Unclassified	Unclassified	4120	20	7	20	Unclassified	0.08
Actinomycetota	Thermoleophilia	Gaiellales	Unclassified	4038	20	7	19	Unclassified	0.08
Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	4019	11	7	12	Blastocatella	0.08
