Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Microbulbiferaceae	Microbulbifer	635.5	11	2	12	0.18
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	625.5	20	2	17	0.18
Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Unclassified	Unclassified	624	9	2	15	0.18
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Marinicella	618	20	2	14	0.17
Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Candidatus_Thiosymbion	618	2	3	2	0.17
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	610	18	1	20	0.17
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	608	16	2	19	0.17
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	598	14	2	22	0.17
Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Candidatus_Thiodiazotropha	558	4	4	8	0.16
Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	558	2	1	8	0.16
Pseudomonadota	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts	552	4	3	5	0.16
Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	548	26	2	19	0.15
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Pseudohaliea	546	7	1	20	0.15
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Limibaculum	528	2	3	12	0.15
Planctomycetota	OM190	Unclassified	Unclassified	Unclassified	517	57	3	22	0.15
Pseudomonadota	Gammaproteobacteria	JTB23	Unclassified	Unclassified	511	9	3	12	0.14
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Unclassified	504	20	4	17	0.14
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Unclassified	496	16	1	19	0.14
Planctomycetota	Phycisphaerae	CCM11a	Unclassified	Unclassified	481	36	2	14	0.14
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Unclassified	474	32	2	17	0.13
