taxon_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	contribution	n_ecs	n_samples
ASV_1499	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Paraspirulinaceae	Unclassified	Unclassified	10	6	1
ASV_15059	Bacteria	Planctomycetota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	10	6	1
ASV_15662	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Unclassified	10	6	1
ASV_1781	Bacteria	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	10	6	1
ASV_2588	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Unclassified	Unclassified	10	6	1
ASV_4145	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Caldora_VP642b	Unclassified	10	6	1
ASV_4161	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	Unclassified	10	5	1
ASV_5025	Bacteria	Planctomycetota	OM190	Unclassified	Unclassified	Unclassified	Unclassified	10	6	1
ASV_6894	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified	10	6	1
ASV_1487	Bacteria	Dependentiae	Babeliae	Babeliales	Unclassified	Unclassified	Unclassified	10	5	1
ASV_15000	Bacteria	WS2	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	10	4	1
ASV_15202	Bacteria	Patescibacteria	Gracilibacteria	Unclassified	Unclassified	Unclassified	Unclassified	10	4	1
ASV_1646	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unclassified	Unclassified	10	4	1
ASV_1827	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unclassified	Unclassified	10	5	1
ASV_1991	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	Unclassified	Unclassified	10	4	1
ASV_2366	Bacteria	Dependentiae	Babeliae	Babeliales	Unclassified	Unclassified	Unclassified	10	4	1
ASV_3564	Bacteria	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	10	5	1
ASV_4953	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Unclassified	Unclassified	Unclassified	10	4	1
ASV_6179	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Unclassified	Unclassified	10	4	1
ASV_6280	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unclassified	Unclassified	10	4	1
ASV_8342	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	Unclassified	Unclassified	10	4	1
ASV_8475	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Unclassified	Unclassified	10	5	1
ASV_9032	Bacteria	Patescibacteria	Gracilibacteria	Unclassified	Unclassified	Unclassified	Unclassified	10	4	1
ASV_12932	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Unclassified	9.96	7	1
ASV_11115	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Phyllonema	Unclassified	9.75	8	1
ASV_6237	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Unclassified	Unclassified	Unclassified	9.5	8	1
ASV_15780	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified	Unclassified	9.5	5	1
ASV_10000	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified	Unclassified	9.5	5	1
ASV_15641	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified	Unclassified	9.5	5	1
ASV_3366	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9.5	5	1
ASV_609	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified	Unclassified	9.5	5	1
ASV_10342	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9.38	8	1
ASV_11316	Bacteria	Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	9.38	8	1
ASV_744	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9.38	8	1
ASV_4897	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Bernardetiaceae	Bernardetia	Unclassified	9.31	5	1
ASV_6358	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Bernardetiaceae	Bernardetia	Unclassified	9.31	5	2
ASV_10018	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified	Unclassified	9	6	1
ASV_10022	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	9	6	1
ASV_10023	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Unclassified	Unclassified	9	6	1
ASV_10191	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Lentimonas	Unclassified	9	7	1
ASV_10473	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Unclassified	Unclassified	Unclassified	9	4	1
ASV_10499	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7_clade	Unclassified	9	6	1
ASV_10505	Bacteria	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_10568	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	9	6	1
ASV_10569	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halanaerobiaceae	Halocella	Unclassified	9	6	1
ASV_1060	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	Unclassified	9	7	1
