Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	1899.99	40	4	21	P3OB-42	0.1
Planctomycetota	Phycisphaerae	Tepidisphaerales	Unclassified	1890	42	3	21	Unclassified	0.1
Nitrospirota	Thermodesulfovibrionia	Unclassified	Unclassified	1885	22	7	18	Unclassified	0.1
Pseudomonadota	Gammaproteobacteria	Beggiatoales	Leucotrichaceae	1885	31	4	19	Unclassified	0.1
Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	1878	1	3	17	Iamia	0.1
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	1873.5	18	3	20	Ketobacter	0.1
Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	1829	76	4	24	SKP-2	0.1
Pseudomonadota	Gammaproteobacteria	BD7-8	Unclassified	1815	21	3	14	Unclassified	0.1
Actinomycetota	Thermoleophilia	Gaiellales	Unclassified	1802	20	7	19	Unclassified	0.1
Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	1799.5	90	3	21	Peredibacter	0.1
Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	1756	70	4	22	Unclassified	0.1
Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	1714	4	4	9	Patulibacter	0.09
Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae	1692	21	4	22	Unclassified	0.09
Patescibacteria	Dojkabacteria	Unclassified	Unclassified	1675.5	53	7	21	Unclassified	0.09
Pseudomonadota	Gammaproteobacteria	JTB23	Unclassified	1659	11	4	13	Unclassified	0.09
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfolunaceae	1653	13	7	4	Unclassified	0.09
Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	1653	3	3	3	Candidatus_Uzinura	0.09
Gemmatimonadota	PAUC43f_marine_benthic_group	Unclassified	Unclassified	1648	20	4	20	Unclassified	0.09
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	1632	29	3	12	Unclassified	0.09
Myxococcota	Polyangiia	Nannocystales	Nannocystaceae	1632	39	4	22	Unclassified	0.09
Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14	1616	26	4	19	Unclassified	0.09
Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	1594.99	96	4	24	Unclassified	0.09
Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	1576	24	4	18	Unclassified	0.09
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	1555	24	4	15	Unclassified	0.09
Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Unclassified	1520	9	7	13	Unclassified	0.08
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	1509	19	3	12	Thiogranum	0.08
NB1-j	Unclassified	Unclassified	Unclassified	1488	51	7	18	Unclassified	0.08
SAR324_clade(Marine_group_B)	Unclassified	Unclassified	Unclassified	1467	62	7	23	Candidatus_Nitrosoarchaeum	0.08
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	1449.75	29	3	20	C1-B045	0.08
Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Unclassified	1443.5	24	4	20	Unclassified	0.08
Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	1434	8	3	16	Unclassified	0.08
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	1423	11	4	14	Halomonas	0.08
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lutibaculaceae	1380	3	4	12	Lutibaculum	0.08
Candidatus_Eremiobacterota	Eremiobacteria	Unclassified	Unclassified	1340	15	4	19	Unclassified	0.07
Pseudomonadota	Alphaproteobacteria	Rickettsiales	SM2D12	1323	69	4	24	Unclassified	0.07
Chloroflexota	Dehalococcoidia	FS117-23B-02	Unclassified	1309	7	7	9	Unclassified	0.07
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatibacillaceae	1298	10	7	5	Unclassified	0.07
