Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Oricola	4499	4	4	23	0.25
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	4494	22	7	18	0.25
Chloroflexota	Anaerolineae	Aggregatilineales	Unclassified	Unclassified	4349	59	7	23	0.24
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	4343.01	67	3	24	0.24
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Sufflavibacter	4224	18	3	19	0.23
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Unclassified	4220	22	5	20	0.23
Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Unclassified	4215	48	3	23	0.23
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified	4139.18	148	4	24	0.23
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Allosediminivita	4101	8	4	17	0.23
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Unclassified	4035	30	4	21	0.22
Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Unclassified	Unclassified	3932	21	4	23	0.22
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	Unclassified	3923.01	159	4	24	0.22
Planctomycetota	Planctomycetes	Planctomycetales	Unclassified	Unclassified	3787.5	113	3	24	0.21
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea	3750	19	7	16	0.21
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Jannaschia	3715	13	4	15	0.2
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Unclassified	3589	39	4	23	0.2
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Haloferula	3549	38	3	22	0.2
Chloroflexota	Anaerolineae	Ardenticatenales	Unclassified	Unclassified	3501	32	7	17	0.19
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	3386	50	4	23	0.19
Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	3298.39	291	7	24	0.18
Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified	3006.5	158	4	24	0.17
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis	3003	15	3	23	0.17
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	2954	20	2	14	0.16
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	2916	38	4	20	0.16
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	2883	33	3	19	0.16
Planctomycetota	OM190	Unclassified	Unclassified	Unclassified	2856	133	7	23	0.16
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Limibacillus	2840	7	4	20	0.16
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubricoccus	2820	41	4	24	0.16
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Unclassified	2814.5	39	4	20	0.16
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Marivita	2810	4	4	9	0.16
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	2773	20	4	13	0.15
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	2697.6	15	3	17	0.15
Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Unclassified	Unclassified	2677	33	4	22	0.15
Pseudomonadota	Gammaproteobacteria	HOC36	Unclassified	Unclassified	2654.02	40	5	24	0.15
Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	Unclassified	2640	23	7	17	0.15
Balneolota	Balneolia	Balneolales	Balneolaceae	Unclassified	2614	36	4	23	0.14
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Pseudohaliea	2568	25	3	21	0.14
Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	2565	5	2	19	0.14
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavimarina	2562	12	3	22	0.14
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Myxosarcina_GI1	2512.5	15	3	19	0.14
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	2481	49	4	22	0.14
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	2470	28	4	21	0.14
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	Marinomonas	2469	23	3	22	0.14
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Aurantimonas	2428	2	4	16	0.13
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Aestuariibacter	2427	8	3	10	0.13
Gemmatimonadota	Longimicrobiia	Longimicrobiales	Longimicrobiaceae	Unclassified	2402	14	4	20	0.13
Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	2386	15	3	18	0.13
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tropicimonas-Psychromarinibacter	2384	9	4	12	0.13
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A_clade	Unclassified	2382	32	3	23	0.13
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosudis	2364	12	7	7	0.13
Pseudomonadota	Gammaproteobacteria	B2M28	Unclassified	Unclassified	2360	19	4	15	0.13
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	2342	4	3	19	0.13
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	2307.5	26	4	17	0.13
Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	2252	3	3	19	0.12
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Unclassified	Unclassified	2240.49	29	4	19	0.12
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Euzebya	2223	10	3	23	0.12
Myxococcota	Polyangiia	Polyangiales	BIrii41	Unclassified	2216	35	4	19	0.12
Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	OM27_clade	2209	50	4	23	0.12
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	2193	4	3	13	0.12
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiophaeococcus	2187	6	3	4	0.12
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodomicrobiaceae	Rhodomicrobium	2178	10	3	19	0.12
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Phormidium_MBIC10003	2174	22	3	10	0.12
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Roseitalea	2152	6	4	10	0.12
Latescibacterota	Unclassified	Unclassified	Unclassified	Unclassified	2139.5	85	4	23	0.12
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	Unclassified	2133	41	4	21	0.12
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	Unclassified	2090	11	7	10	0.12
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pikeienuella	2062	20	4	20	0.11
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Owenweeksia	1990	39	4	21	0.11
Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae	Sporichthya	1944	1	3	10	0.11
Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	1894.99	39	4	20	0.1
Planctomycetota	Phycisphaerae	Tepidisphaerales	Unclassified	Unclassified	1890	42	3	21	0.1
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Unclassified	1888	19	4	20	0.1
Nitrospirota	Thermodesulfovibrionia	Unclassified	Unclassified	Unclassified	1885	22	7	18	0.1
Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	1878	1	3	17	0.1
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Ketobacter	1873.5	18	3	20	0.1
Pseudomonadota	Gammaproteobacteria	Beggiatoales	Leucotrichaceae	Unclassified	1867	28	4	19	0.1
Pseudomonadota	Gammaproteobacteria	BD7-8	Unclassified	Unclassified	1815	21	3	14	0.1
Actinomycetota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	1802	20	7	19	0.1
Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	1798.5	42	3	23	0.1
Myxococcota	Polyangiia	Haliangiales	Haliangiaceae	Unclassified	1788	42	4	23	0.1
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Chroococcidiopsis_PCC-6712	1779	16	3	15	0.1
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Euryhalocaulis	1776	7	3	18	0.1
