"","FCBAG1","FCBAG2","FCBAG3","FCBAG4","FCBAG5","FCBAG6","FEZAG1","FEZAG2","FEZAG3","FEZAG4","FEZAG5","FEZAG6","SCBAG1","SCBAG2","SCBAG3","SCBAG4","SCBAG5","SCBAG6","SEZAG1","SEZAG2","SEZAG3","SEZAG4","SEZAG5","SEZAG6"
"FEZAG5",0.907238095238095,0.896238095238095,0.877285714285714,0.912285714285714,0.880857142857143,0.861238095238095,0.92652380952381,0.587952380952381,0.803,0.766,0,0.862666666666667,0.915904761904762,0.917619047619048,0.935904761904762,0.930047619047619,0.921761904761905,0.943619047619048,0.851857142857143,0.850428571428571,0.900142857142857,0.810809523809524,0.950238095238095,0.903380952380952
"FEZAG6",0.947809523809524,0.946238095238095,0.959238095238095,0.958095238095238,0.948761904761905,0.947619047619048,0.617095238095238,0.796380952380952,0.545619047619048,0.653238095238095,0.862666666666667,0,0.956285714285714,0.954047619047619,0.958904761904762,0.953285714285714,0.951904761904762,0.961571428571429,0.886809523809524,0.863619047619048,0.855,0.901190476190476,0.890238095238095,0.845142857142857
"SCBAG1",0.814095238095238,0.830857142857143,0.853619047619048,0.939904761904762,0.864238095238095,0.862476190476191,0.923809523809524,0.901857142857143,0.921571428571429,0.953809523809524,0.915904761904762,0.956285714285714,0,0.39952380952381,0.537285714285714,0.438047619047619,0.605666666666667,0.517190476190476,0.760142857142857,0.724904761904762,0.740809523809524,0.859952380952381,0.713761904761905,0.722380952380952
"SCBAG2",0.759714285714286,0.756333333333333,0.789857142857143,0.878904761904762,0.810952380952381,0.812095238095238,0.928333333333333,0.908,0.916,0.94552380952381,0.917619047619048,0.954047619047619,0.39952380952381,0,0.519619047619048,0.405142857142857,0.588142857142857,0.475428571428571,0.749285714285714,0.72247619047619,0.758190476190476,0.85652380952381,0.755952380952381,0.735238095238095
"SCBAG3",0.806952380952381,0.799571428571429,0.792238095238095,0.894,0.825380952380952,0.825952380952381,0.933285714285714,0.928619047619048,0.933047619047619,0.949666666666667,0.935904761904762,0.958904761904762,0.537285714285714,0.519619047619048,0,0.540095238095238,0.640238095238095,0.612761904761905,0.799333333333333,0.76947619047619,0.782761904761905,0.871095238095238,0.777047619047619,0.777904761904762
"SCBAG4",0.724857142857143,0.793047619047619,0.764666666666667,0.927666666666667,0.821047619047619,0.785333333333333,0.927761904761905,0.904047619047619,0.915333333333333,0.947095238095238,0.930047619047619,0.953285714285714,0.438047619047619,0.405142857142857,0.540095238095238,0,0.526761904761905,0.406047619047619,0.719666666666667,0.717666666666667,0.752857142857143,0.814857142857143,0.751714285714286,0.725904761904762
"SCBAG5",0.769285714285714,0.771095238095238,0.770619047619048,0.871619047619048,0.761476190476191,0.726428571428571,0.917571428571429,0.881095238095238,0.904428571428571,0.939571428571429,0.921761904761905,0.951904761904762,0.605666666666667,0.588142857142857,0.640238095238095,0.526761904761905,0,0.539380952380952,0.740095238095238,0.721,0.765190476190476,0.802285714285714,0.822285714285714,0.778285714285714
"SCBAG6",0.775,0.770380952380952,0.744047619047619,0.924047619047619,0.843571428571429,0.835952380952381,0.938,0.91952380952381,0.933238095238095,0.959047619047619,0.943619047619048,0.961571428571429,0.517190476190476,0.475428571428571,0.612761904761905,0.406047619047619,0.539380952380952,0,0.769238095238095,0.754476190476191,0.796428571428571,0.853619047619048,0.810428571428571,0.774285714285714
"SEZAG1",0.81752380952381,0.866238095238095,0.805190476190476,0.942095238095238,0.884904761904762,0.846952380952381,0.855095238095238,0.768238095238095,0.809761904761905,0.868142857142857,0.851857142857143,0.886809523809524,0.760142857142857,0.749285714285714,0.799333333333333,0.719666666666667,0.740095238095238,0.769238095238095,0,0.486238095238095,0.656190476190476,0.529,0.755952380952381,0.614619047619048
"SEZAG2",0.834428571428571,0.847666666666667,0.821952380952381,0.932095238095238,0.863285714285714,0.835238095238095,0.804428571428571,0.745952380952381,0.766809523809524,0.859666666666667,0.850428571428571,0.863619047619048,0.724904761904762,0.72247619047619,0.76947619047619,0.717666666666667,0.721,0.754476190476191,0.486238095238095,0,0.490380952380952,0.632952380952381,0.597238095238095,0.490952380952381
"SEZAG3",0.875380952380952,0.879666666666667,0.869809523809524,0.944285714285714,0.885619047619048,0.872952380952381,0.745666666666667,0.849761904761905,0.736285714285714,0.860857142857143,0.900142857142857,0.855,0.740809523809524,0.758190476190476,0.782761904761905,0.752857142857143,0.765190476190476,0.796428571428571,0.656190476190476,0.490380952380952,0,0.789952380952381,0.468571428571429,0.406761904761905
"SEZAG4",0.848619047619048,0.879809523809524,0.78547619047619,0.938095238095238,0.890095238095238,0.833285714285714,0.899142857142857,0.729904761904762,0.841238095238095,0.859619047619048,0.810809523809524,0.901190476190476,0.859952380952381,0.85652380952381,0.871095238095238,0.814857142857143,0.802285714285714,0.853619047619048,0.529,0.632952380952381,0.789952380952381,0,0.875619047619048,0.789285714285714
"SEZAG5",0.912714285714286,0.919619047619048,0.915285714285714,0.973,0.924714285714286,0.912047619047619,0.806190476190476,0.904095238095238,0.827380952380952,0.912047619047619,0.950238095238095,0.890238095238095,0.713761904761905,0.755952380952381,0.777047619047619,0.751714285714286,0.822285714285714,0.810428571428571,0.755952380952381,0.597238095238095,0.468571428571429,0.875619047619048,0,0.454666666666667
"SEZAG6",0.852857142857143,0.891857142857143,0.867619047619048,0.954714285714286,0.898095238095238,0.885523809523809,0.755904761904762,0.840619047619048,0.746619047619048,0.857904761904762,0.903380952380952,0.845142857142857,0.722380952380952,0.735238095238095,0.777904761904762,0.725904761904762,0.778285714285714,0.774285714285714,0.614619047619048,0.490952380952381,0.406761904761905,0.789285714285714,0.454666666666667,0
