function	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
4.1.2.25	Dihydroneopterin aldolase	20075.94	20371.88	21181.34	19882.66	19538.97	21764.83	22771.97	20479.15	21663.88	19492.27	19920.410000000003	21911.65	29496.54	27121.35	25589.74	27953.09	28995.35	27716.82	24544.83	25900.4	26414.0	23466.1	28083.07	26346.08
4.1.2.27	Sphinganine-1-phosphate aldolase	3670.0	2884.5	4345.0	2265.0	2926.17	3855.5	1591.5	1667.0	1608.0	2193.5	1247.5	1263.5	4250.07	5105.0	3926.0	6976.0	5372.360000000001	6750.5	4553.0	4033.5	3576.0	4212.0	3820.5	4693.0
4.1.2.28	2-dehydro-3-deoxy-D-pentonate aldolase	72.0	51.0	43.0	28.0	56.86	35.71	9.0	6.0	11.0	24.0	7.0	14.0	9.0	12.0	20.28	0.0	13.0	28.0	17.33	9.0	0.0	23.0	4.0	10.0
4.1.2.29	5-dehydro-2-deoxyphosphogluconate aldolase	28.0	32.0	28.0	28.75	100.7	36.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0	4.0	0.0	0.0	23.8	0.0	0.0	0.0	0.0	0.0
4.1.2.34	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase	0.0	4.0	14.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	34.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1.2.4	Deoxyribose-phosphate aldolase	13377.920000000002	12843.25	12566.15	11890.43	13274.54	13361.77	16174.82	14252.08	15603.86	14053.27	12180.44	15999.580000000002	16621.72	15410.23	14553.95	17215.190000000002	16728.4	16387.82	16853.75	16384.43	16428.9	15640.47	17801.17	17386.800000000003
4.1.2.40	Tagatose-bisphosphate aldolase	662.5	657.36	655.86	833.6700000000001	755.1200000000001	1026.9	1452.0	1792.5	973.5	1045.5	738.6700000000001	1142.0	363.17	462.0	632.78	382.0	549.0	561.5	1319.0	1150.5	471.0	1052.5	386.0	631.0
4.1.2.41	Vanillin synthase	376.0	394.0	453.5	788.5	580.0	828.5	220.0	393.5	342.5	211.5	356.0	231.0	381.5	377.5	418.5	523.0	559.5	316.0	308.0	412.5	464.5	329.0	241.5	378.5
4.1.2.42	D-threonine aldolase	79.0	65.4	102.6	145.8	32.8	42.2	143.4	49.4	383.6	145.9	564.3	452.4	31.4	46.53	63.27	27.73	21.2	43.0	56.1	42.3	63.6	51.73	15.4	43.0
4.1.2.43	3-hexulose-6-phosphate synthase	512.0	399.75	487.5	705.75	580.2	875.27	890.0	727.25	970.0	1333.5	461.5	697.5	90.75	103.0	143.75	212.5	190.25	113.25	542.35	231.0	297.75	367.0	167.75	109.25
