function	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
ko:K02469	DNA gyrase subunit A [EC:5.6.2.2]	24932.68	23846.04	25194.57	23233.0	24364.43	24859.25	25939.41	24925.65	25101.81	23807.97	22056.41	25638.050000000003	27872.54	27813.84	25838.24	30017.090000000004	27837.08	28975.82	28176.86	27110.56	27470.03	27374.14	27478.74	28701.06
ko:K02470	DNA gyrase subunit B [EC:5.6.2.2]	24306.43	23355.54	24165.74	22424.48	23483.1	23791.73	20585.47	21487.99	21755.88	22035.93	20974.730000000003	20856.65	24865.54	25663.17	24175.24	27324.59	25657.85	27110.82	24394.0	23984.230000000003	23288.0	23437.6	23891.07	24176.74
ko:K02471	vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	491.31	416.0	704.8	1112.85	445.43	618.1	1700.6	903.49	908.34	834.37	409.34	1319.64	280.67	353.5	576.64	393.5	488.73	353.5	1041.58	997.17	1057.7	1395.87	2279.84	1487.06
ko:K02472	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	2513.5	2210.9	2232.7	3805.88	4422.06	4187.97	935.2	2991.57	1636.7	2466.3	3145.04	855.5	2083.4	1834.7	1504.2399999999998	1943.4	1829.2	1657.0	2402.57	2054.3	1722.1	1994.4	2427.9	2272.4
ko:K02473	UDP-N-acetylglucosamine 4-epimerase [EC:5.1.3.7]	3321.75	3583.42	3132.5	2911.74	2734.66	3031.08	3048.0	4888.75	4299.66	4372.66	6119.83	3909.83	2465.42	2278.33	2389.42	2313.33	2162.75	2039.08	2452.5	2889.0	2867.25	2807.0	2166.75	2428.58
ko:K02474	UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]	10805.4	11165.74	9101.2	10385.23	9985.83	8053.129999999999	7612.91	10002.49	9909.68	9786.36	10554.71	9304.7	5666.74	6536.610000000001	7105.6900000000005	5151.06	7347.099999999999	4969.58	6714.25	7140.13	6658.55	7785.58	5191.4	5341.09
ko:K02475	two-component system, CitB family, response regulator	405.35	217.0	180.32	147.5	129.26	140.70999999999998	15.0	30.0	0.0	29.0	400.89	10.75	173.04000000000002	232.14	175.14	202.86	142.28	181.24	1439.39	145.98	40.74	286.43	32.0	25.0
ko:K02476	two-component system, CitB family, sensor kinase [EC:2.7.13.3]	839.39	449.5	483.07	261.83	462.76	568.94	60.0	71.0	54.0	203.5	959.03	33.0	1366.11	1500.02	681.14	1625.86	1102.14	1289.24	1256.59	300.55	342.12	423.93	1541.0	472.5
ko:K02477	two-component system, LytTR family, response regulator	17541.5	18643.45	16929.0	18295.44	17633.699999999997	19297.12	24981.32	29958.630000000005	28793.13	29406.71	32734.53	27588.39	15314.87	12755.3	13330.98	13934.990000000002	15289.96	11494.9	17161.56	20141.53	18160.23	19811.21	13909.3	15933.259999999998
ko:K02478	two-component system, LytTR family, sensor kinase [EC:2.7.13.3]	1411.06	1207.14	1619.13	817.0	843.3199999999999	831.51	163.75	212.0	224.5	363.5	573.53	196.0	958.4	1738.9	1090.78	1230.36	1268.06	1302.24	1417.79	347.77	274.44	859.4300000000001	828.0	459.0
